Layer	From	To
U7	AFW	YIP
U7	AZO	MCI
U7	BRO	FWA
U7	BRO	TOL
U7	BRO	YIP
U7	BTL	LRD
U7	BTL	MQY
U7	BWG	HKS
U7	CAE	LRD
U7	CLE	MCI
U7	CMH	MCI
U7	CRW	TCL
U7	DAY	MCI
U7	ELP	DAY
U7	ELP	DTW
U7	ELP	FWA
U7	FNT	JZT
U7	GRR	CAE
U7	GSO	LAN
U7	HLM	CHA
U7	IAG	SDF
U7	IND	CLT
U7	JZT	SUS
U7	LCK	MCI
U7	LEX	MQY
U7	LIT	YIP
U7	LRD	DCU
U7	LRD	LRD
U7	LRD	OAK
U7	LRD	TOL
U7	LRD	YIP
U7	LRD	YNG
U7	MBS	SUS
U7	MCI	SDF
U7	MFE	MCI
U7	MQY	JAN
U7	MQY	TUL
U7	PHF	LRD
U7	SUS	MBS
U7	TDF	GYY
U7	TXK	CLE
U7	UIN	MBS
U7	YIP	AFW
U7	YIP	JZT
U7	YIP	OAK
U7	YIP	SDF
U7	YIP	SHV
U7	YIP	SUS
1TQ	HNL	ITO
1TQ	HNL	KOA
1TQ	HNL	LIH
1TQ	HNL	OGG
1TQ	ITO	HNL
1TQ	ITO	KOA
1TQ	KOA	HNL
1TQ	KOA	ITO
1TQ	KOA	OGG
1TQ	LIH	HNL
1TQ	OGG	HNL
1TQ	OGG	ITO
09Q	ADW	RDU
09Q	AZA	DSM
09Q	AZA	GEG
09Q	AZA	GSO
09Q	AZA	MHK
09Q	AZA	PHX
09Q	AZA	SAT
09Q	BED	DAL
09Q	BED	GRB
09Q	BED	MIA
09Q	BED	ORD
09Q	BED	PHL
09Q	BKL	STL
09Q	BNA	MCO
09Q	BNA	PIT
09Q	BOS	BWI
09Q	BUF	EWR
09Q	BWI	AZA
09Q	BWI	RDU
09Q	CAE	IAD
09Q	CKB	MSP
09Q	CLL	AZA
09Q	CMH	GRR
09Q	CPS	BNA
09Q	CPS	PIT
09Q	CVG	GSO
09Q	DAL	EWR
09Q	DAL	STT
09Q	DEN	MIA
09Q	DSM	CID
09Q	ELP	AUS
09Q	EWR	BNA
09Q	EWR	DLH
09Q	EWR	FRG
09Q	EWR	MEM
09Q	FNL	OKC
09Q	FOE	ORD
09Q	FRG	BED
09Q	FRG	BWI
09Q	FRG	PVU
09Q	FSD	CPS
09Q	GEG	MIA
09Q	GSO	CPS
09Q	GSO	DTW
09Q	GSO	FNT
09Q	GSO	IAD
09Q	GSO	ITH
09Q	GSO	RDU
09Q	HPN	CVG
09Q	HPN	MIA
09Q	IAD	BWI
09Q	IAD	EWR
09Q	IND	BOS
09Q	IND	JFK
09Q	IND	MSP
09Q	ITH	FLL
09Q	LAX	AZA
09Q	LEX	GTR
09Q	LGA	LAX
09Q	LGA	MIA
09Q	LGA	RDU
09Q	LNK	ORD
09Q	MCO	BUF
09Q	MCO	SAT
09Q	MEM	GSO
09Q	MEM	RDU
09Q	MHK	BDL
09Q	MIA	BUF
09Q	MIA	IAD
09Q	MIA	ILM
09Q	MIA	LAX
09Q	MIA	OMA
09Q	MIA	RDU
09Q	MIA	SAT
09Q	MIA	SJU
09Q	MIA	TLH
09Q	MIA	TPA
09Q	MKC	JFK
09Q	MSP	BKL
09Q	OGD	ACT
09Q	OMA	PHX
09Q	ORD	CKB
09Q	ORD	FRG
09Q	ORD	MIA
09Q	ORD	MSP
09Q	ORH	EWR
09Q	PHL	ADW
09Q	PHL	MIA
09Q	PHL	SYR
09Q	PHX	BED
09Q	PHX	GSO
09Q	PHX	STL
09Q	PIT	BED
09Q	PIT	BWI
09Q	PIT	IND
09Q	PVD	HPN
09Q	PVU	GEG
09Q	RDU	DAL
09Q	RDU	GSO
09Q	RDU	LAX
09Q	RDU	MEM
09Q	RDU	ORD
09Q	SDF	MIA
09Q	SJU	MIA
09Q	STL	BZN
09Q	STL	LBB
09Q	STL	ORD
09Q	STL	SYR
09Q	STT	TPA
09Q	SYR	AZA
09Q	SYR	MIA
09Q	SYR	STL
09Q	TPA	FOE
09Q	TPA	LNK
09Q	TPA	PHL
0WQ	BUR	C01
0WQ	BUR	COE
0WQ	BUR	LAX
0WQ	BUR	SAF
0WQ	BUR	SBA
0WQ	BUR	SCF
0WQ	BUR	SEA
0WQ	BUR	SNA
0WQ	BUR	VNY
0WQ	C01	BUR
0WQ	COE	BUR
0WQ	LAX	BUR
0WQ	RDD	BUR
0WQ	SBA	BUR
0WQ	SJC	SFO
0WQ	SLC	BUR
0WQ	SNA	BUR
0WQ	TEB	DAL
0WQ	TWF	SUN
0WQ	VNY	BUR
1SQ	GUM	ROP
1SQ	ROP	GUM
4EQ	MCG	LVD
4EQ	MCG	NIB
4EQ	MCG	TLJ
AS	ANC	BET
AS	ANC	JNU
AS	ANC	KTN
AS	ANC	OME
AS	ANC	OTZ
AS	ANC	SEA
AS	ANC	YAK
AS	BET	ANC
AS	BET	OTZ
AS	JNU	ANC
AS	JNU	SEA
AS	JNU	YAK
AS	KTN	ANC
AS	KTN	JNU
AS	KTN	SEA
AS	KTN	SIT
AS	OME	ANC
AS	OTZ	ANC
AS	SEA	ANC
AS	SEA	JNU
AS	SEA	KTN
AS	SEA	SIT
AS	SIT	ANC
AS	SIT	JNU
AS	SIT	SEA
AS	YAK	ANC
AS	YAK	JNU
AS	YAK	SEA
V8	ANC	ILI
V8	ILI	PTA
2O	ADQ	A29
2O	ADQ	AOS
2O	ADQ	KPY
2O	ADQ	KWP
2O	ADQ	KZB
2O	AOS	ADQ
2O	KMY	ADQ
2O	KYK	KLN
2O	SYB	ADQ
2O	UGI	ADQ
3F	WFB	KTB
3F	WFB	MTM
4Y	BET	EEK
7S	ABL	OTZ
7S	ADQ	ANC
7S	AKI	BET
7S	ANC	ADQ
7S	ANC	ANI
7S	ANC	BET
7S	ANC	KLG
7S	ANC	OBU
7S	ANC	OTZ
7S	ANC	PTU
7S	ANC	RDV
7S	ANI	ANV
7S	ANI	BET
7S	ANI	CHU
7S	ANI	CKD
7S	ANI	HCR
7S	ANI	KGX
7S	ANI	KLG
7S	ANI	KWT
7S	ANI	RDV
7S	ANI	RSH
7S	ANI	SHX
7S	ANI	SLQ
7S	ANI	SRV
7S	ANV	ANI
7S	BET	AKI
7S	BET	ANI
7S	BET	ATT
7S	BET	CHU
7S	BET	CKD
7S	BET	CYF
7S	BET	EEK
7S	BET	GNU
7S	BET	HCR
7S	BET	HPB
7S	BET	KKH
7S	BET	KKI
7S	BET	KLG
7S	BET	KPN
7S	BET	KSM
7S	BET	KUK
7S	BET	KWK
7S	BET	KWN
7S	BET	KWT
7S	BET	MLL
7S	BET	MYU
7S	BET	NME
7S	BET	NUP
7S	BET	OOK
7S	BET	PKA
7S	BET	PQS
