Node	Class
05A	1
1G4	1
6B0	0
7AK	1
A02	0
A03	0
A04	0
A1K	0
A20	0
A26	0
A27	0
A29	1
A2K	1
A35	0
A37	0
A39	0
A3K	0
A40	0
A43	1
A4K	0
A51	0
A52	0
A63	0
A6K	0
A72	0
A7K	0
AAF	0
ABE	1
ABI	1
ABL	1
ABQ	1
ABR	1
ABY	1
ACK	1
ACT	1
ACV	1
ACY	1
ADK	1
ADQ	1
ADS	0
ADW	0
AET	1
AEX	1
AFW	1
AGC	1
AGN	1
AGS	1
AHN	0
AIA	1
AIK	0
AIN	1
AK6	0
AK7	0
AKB	1
AKI	1
AKK	1
AKN	1
AKP	1
AL8	0
ALB	1
ALN	0
ALO	1
ALS	1
ALW	1
ALZ	1
AMA	1
ANB	0
ANC	1
ANI	1
ANV	1
AOH	0
AOO	1
AOS	1
APA	0
APC	0
APF	1
APN	1
AR3	0
ARA	0
ARB	0
ARC	1
ART	1
ASE	1
ASN	0
AST	0
ATK	1
ATL	1
ATO	0
ATT	1
ATW	1
ATY	1
AUG	1
AUK	1
AUO	0
AUS	1
AUW	0
AVL	1
AVP	1
AZ1	0
AZA	1
AZO	1
BAD	0
BAF	0
BBD	0
BBX	0
BCE	0
BCT	0
BDL	1
BDR	1
BED	1
BEH	0
BET	1
BFD	1
BFF	1
BFI	1
BFL	1
BFM	0
BFT	0
BGM	1
BGR	1
BHB	1
BHM	1
BID	1
BIF	0
BIH	0
BIL	1
BIS	1
BJC	0
BJI	1
BKC	1
BKG	1
BKL	1
BKW	1
BLD	1
BLI	1
BLM	0
BLV	1
BMG	0
BMI	1
BNA	1
BOI	1
BOK	0
BOS	1
BPT	1
BQK	1
BQN	1
BRD	1
BRL	1
BRO	1
BRW	1
BTI	1
BTL	0
BTM	1
BTR	1
BTT	1
BTV	1
BUF	1
BUR	1
BVU	0
BVY	0
BWD	0
BWG	1
BWI	1
BZN	1
C01	0
CAE	1
CAK	1
CAR	0
CBA	0
CCR	1
CDB	1
CDC	1
CDL	1
CDR	1
CDV	1
CDW	0
