Node	Class
05A	0
1G4	0
6B0	0
7AK	0
A02	0
A03	0
A04	0
A1K	0
A20	0
A26	0
A27	0
A29	0
A2K	0
A35	0
A37	0
A39	0
A3K	0
A40	0
A43	0
A4K	0
A51	0
A52	0
A63	0
A6K	0
A72	0
A7K	0
AAF	1
ABE	1
ABI	1
ABL	1
ABQ	1
ABR	1
ABY	1
ACK	1
ACT	0
ACV	1
ACY	0
ADK	1
ADQ	1
ADS	0
ADW	0
AET	1
AEX	0
AFW	1
AGC	0
AGN	0
AGS	0
AHN	0
AIA	0
AIK	0
AIN	1
AK6	0
AK7	0
AKB	0
AKI	1
AKK	0
AKN	1
AKP	1
AL8	0
ALB	1
ALN	0
ALO	0
ALS	0
ALW	0
ALZ	0
AMA	0
ANB	0
ANC	1
ANI	1
ANV	1
AOH	0
AOO	1
AOS	0
APA	0
APC	0
APF	0
APN	1
AR3	0
ARA	1
ARB	0
ARC	1
ART	0
ASE	0
ASN	0
AST	0
ATK	1
ATL	1
ATO	0
ATT	1
ATW	1
ATY	0
AUG	0
AUK	1
AUO	1
AUS	1
AUW	1
AVL	0
AVP	1
AZ1	0
AZA	0
AZO	0
BAD	0
BAF	0
BBD	1
BBX	0
BCE	0
BCT	0
BDL	1
BDR	1
BED	0
BEH	0
BET	1
BFD	0
BFF	1
BFI	1
BFL	1
BFM	1
BFT	0
BGM	0
BGR	1
BHB	0
BHM	1
BID	0
BIF	0
BIH	1
BIL	1
BIS	1
BJC	0
BJI	1
BKC	1
BKG	0
BKL	0
BKW	0
BLD	0
BLI	1
BLM	0
BLV	0
BMG	0
BMI	1
BNA	1
BOI	1
BOK	1
BOS	1
BPT	0
BQK	0
BQN	1
BRD	1
BRL	0
BRO	0
BRW	1
BTI	1
BTL	0
BTM	0
BTR	0
BTT	0
BTV	1
BUF	1
BUR	1
BVU	0
BVY	0
BWD	1
BWG	0
BWI	1
BZN	1
C01	0
CAE	1
CAK	0
CAR	1
CBA	0
CCR	0
CDB	1
CDC	1
CDL	1
CDR	0
CDV	1
CDW	0
CEC	1
CEF	0
CEM	0
CEU	0
CEV	0
CEZ	0
CGA	0
CGF	0
CGI	0
CHA	1
CHD	1
CHO	0
CHS	1
CHU	1
CHZ	1
CIC	1
CID	1
CIK	0
CIU	1
CJR	0
CKB	0
CKD	1
CKX	0
CLD	0
CLE	1
CLL	1
CLM	1
CLP	0
CLT	1
CLU	0
CMH	0
CMI	0
CMX	1
CNM	0
CNO	0
CNY	0
COD	1
COE	0
COF	0
CON	0
COS	1
COU	0
CPR	1
CPS	0
CPX	0
CRE	0
CRP	0
CRW	1
CSG	1
CT1	0
CT6	0
CTH	0
CTX	0
CUB	0
CUW	0
CVG	1
CVN	0
CVO	1
CVS	0
CWA	1
CWF	0
CXF	0
CYF	1
CYM	0
CYS	0
CZF	0
CZN	0
DAB	0
DAL	1
DAY	1
DBQ	0
DCA	0
DCK	0
DCU	0
DDC	1
DE2	0
DEC	0
DEN	1
DFW	1
DGB	0
DHB	0
DHN	0
DIK	1
DIO	0
DKK	0
DLG	1
DLH	1
DLO	0
DMA	0
DMN	0
DOF	0
DOV	0
DPA	0
DQH	0
DQL	0
DQS	0
DQU	0
DRF	0
DRG	1
DRO	1
DRT	1
DSI	0
DSM	1
DTO	0
DTR	0
DTW	1
DUA	0
DUJ	1
DUT	1
DVL	0
DVT	1
DWH	0
DXR	0
EAA	1
EAR	1
EAT	1
EAU	0
ECG	1
ECP	0
EDA	0
EDF	1
EEK	1
EEN	0
EFD	0
EGE	0
EGP	1
EGV	0
EGX	1
EHM	0
EKA	1
EKO	0
ELD	0
ELI	1
ELM	1
ELN	1
ELP	1
ELV	0
EMK	1
ENA	1
ENN	0
ENV	0
ENW	0
ERI	1
ESC	1
ESD	1
ESN	0
EUG	1
EVV	1
EWB	0
EWN	1
EWR	1
EXI	0
EYW	1
F70	0
FAI	1
FAL	0
FAQ	0
FAR	1
FAT	1
FAY	0
FBK	1
FBS	0
FCA	1
FCM	0
FDK	0
FDY	0
FET	1
FFO	0
FHB	0
FID	0
FKL	0
FLG	1
FLL	1
FLO	0
FLT	0
FMN	1
FMY	0
FNL	0
FNR	0
FNT	1
FOD	1
FOE	0
FOK	0
FPR	0
FQI	0
FQW	0
FRD	1
FRG	0
FSD	1
FSM	0
FTG	0
FTW	0
FTY	0
FVQ	0
FWA	1
FWH	0
FWL	0
FXE	0
FYU	1
FYV	0
GAD	0
GAI	0
GAL	1
GAM	1
GBD	0
GBH	0
GCC	0
GCK	1
GCN	0
GDC	0
GDV	0
GED	0
GEG	1
GEK	0
GEY	1
GFK	1
GFL	0
GGG	0
GGW	1
GJT	1
GKN	0
GLH	0
GLR	1
GLV	1
GMU	0
GNT	1
GNU	1
GNV	0
GON	0
GPT	0
GQQ	0
GRB	0
GRI	1
GRK	0
GRR	1
GSB	0
GSH	0
GSO	1
GSP	1
GST	0
GTF	1
GTR	0
GTY	0
GUC	0
GUM	1
GUP	1
GWO	0
GYR	1
GYY	0
HAO	0
HAR	0
HBG	0
HBH	0
HCR	1
HDN	1
HES	0
HFD	1
HGR	0
HHH	0
HHR	0
HIB	0
HIF	0
HII	1
HIK	0
HKB	0
HKS	0
HKY	0
HLM	0
HLN	0
HNH	0
HNL	1
HNM	0
HNS	0
HOB	0
HOM	1
HON	1
HOP	0
HOT	0
HOU	0
HPB	1
HPN	0
HRL	1
HRO	0
HSH	0
HSL	1
HSV	1
HTO	0
HTS	1
HUF	0
HUL	1
HUS	1
HVN	1
HVR	0
HYA	1
HYG	0
HYL	0
HYS	0
IAB	0
IAD	1
IAG	0
IAH	1
IAN	1
ICT	1
IDA	1
IFP	0
IGG	0
II3	0
IKK	0
IKO	1
IL2	0
ILG	0
ILI	1
ILM	1
ILN	1
IML	0
IMT	1
IN7	0
IND	1
INL	0
INT	0
IPL	1
IPT	1
IRC	0
IRK	0
ISM	0
ISN	1
ISO	1
ISP	0
ISS	0
ITH	0
ITO	1
IWD	0
IYK	1
JAC	1
JAN	1
JAX	1
JBR	0
JFK	1
JGG	0
JHM	1
JHW	1
JLN	0
JMS	0
JNU	1
JQF	0
JRF	0
JRV	0
JST	0
JVL	0
JXN	0
JZE	0
JZI	0
JZM	0
JZT	0
JZU	0
JZY	0
KAE	0
KAL	1
KBC	0
KBE	0
KCC	0
KCG	0
KCL	0
KCQ	0
KEB	0
KEH	0
KEK	1
KFP	0
KGK	0
KGX	1
KKA	1
KKB	0
KKH	1
KKI	1
KLG	1
KLL	0
KLN	0
KLW	0
KMO	1
KMY	0
KNB	0
KNK	1
KNW	1
KOA	1
KOT	1
KOY	0
KOZ	0
KPB	0
KPC	0
KPN	1
KPR	0
KPV	1
KPY	0
KSM	1
KTB	0
KTN	1
KTS	1
KUK	1
KVC	0
KVL	1
KWF	0
KWK	1
KWN	1
KWP	0
KWT	1
KXA	0
KYK	0
KYU	1
KZB	0
KZH	0
L41	0
LAF	0
LAL	0
LAM	0
LAN	1
LAR	0
LAS	1
LAW	0
LAX	1
LBB	1
LBE	1
LBF	1
LBL	1
LCH	0
LCI	0
LCK	1
LEB	0
LEE	0
LEW	0
LEX	0
LFI	0
LFT	1
LGA	0
LGB	1
LGC	0
LGD	1
LGU	0
LIH	1
LIJ	0
LIT	1
LKE	0
LKK	0
LKP	0
LMA	0
LMT	1
LNK	0
