Node	Class
05A	1
1G4	1
6B0	1
7AK	1
A02	1
A03	1
A04	1
A1K	0
A20	0
A26	0
A27	1
A29	1
A2K	0
A35	0
A37	1
A39	0
A3K	0
A40	0
A43	1
A4K	0
A51	0
A52	1
A63	1
A6K	1
A72	1
A7K	0
AAF	0
ABE	1
ABI	1
ABL	1
ABQ	1
ABR	0
ABY	0
ACK	1
ACT	1
ACV	1
ACY	1
ADK	1
ADQ	1
ADS	1
ADW	1
AET	1
AEX	1
AFW	1
AGC	1
AGN	1
AGS	1
AHN	1
AIA	0
AIK	1
AIN	1
AK6	1
AK7	1
AKB	1
AKI	1
AKK	1
AKN	1
AKP	1
AL8	1
ALB	1
ALN	1
ALO	1
ALS	0
ALW	0
ALZ	1
AMA	1
ANB	1
ANC	1
ANI	1
ANV	1
AOH	0
AOO	0
AOS	1
APA	1
APC	1
APF	1
APN	0
AR3	1
ARA	0
ARB	1
ARC	1
ART	1
ASE	1
ASN	0
AST	1
ATK	1
ATL	1
ATO	1
ATT	1
ATW	1
ATY	1
AUG	1
AUK	1
AUO	0
AUS	1
AUW	0
AVL	1
AVP	1
AZ1	1
AZA	1
AZO	1
BAD	1
BAF	1
BBD	0
BBX	1
BCE	1
BCT	1
BDL	1
BDR	1
BED	1
BEH	1
BET	1
BFD	1
BFF	1
BFI	1
BFL	1
BFM	1
BFT	1
BGM	1
BGR	1
BHB	1
BHM	1
BID	1
BIF	1
BIH	0
BIL	1
BIS	1
BJC	1
BJI	1
BKC	1
BKG	1
BKL	1
BKW	1
BLD	1
BLI	1
BLM	1
BLV	1
BMG	1
BMI	1
BNA	1
BOI	1
BOK	0
BOS	1
BPT	0
BQK	1
BQN	1
BRD	1
BRL	1
BRO	1
BRW	1
BTI	1
BTL	1
BTM	1
BTR	1
BTT	1
BTV	1
BUF	1
BUR	1
BVU	1
BVY	1
BWD	0
BWG	1
BWI	1
BZN	1
C01	1
CAE	1
CAK	1
CAR	0
CBA	1
CCR	0
CDB	1
CDC	1
CDL	1
CDR	0
CDV	1
CDW	1
