nodeID layerID color size
1 1 orange 10
2 1 orange 10
3 1 green 10
4 1 green 10
5 1 green 10
6 1 orange 10
7 1 green 10
8 1 green 10
9 1 green 10
10 1 green 10
11 1 orange 10
12 1 orange 10
13 1 orange 10
14 1 orange 10
15 1 orange 10
16 1 orange 10
17 1 orange 10
18 1 green 10
19 1 orange 10
20 1 green 10
21 1 orange 10
22 1 orange 10
23 1 orange 10
24 1 green 10
25 1 orange 10
26 1 orange 10
27 1 orange 10
28 1 green 10
29 1 green 10
30 1 orange 10
31 1 orange 10
32 1 orange 10
33 1 orange 10
34 1 orange 10
35 1 orange 10
36 1 orange 10
37 1 orange 10
38 1 orange 10
39 1 orange 10
40 1 orange 10
41 1 orange 10
42 1 orange 10
43 1 orange 10
44 1 orange 10
45 1 orange 10
46 1 orange 10
47 1 green 10
48 1 green 10
49 1 orange 10
50 1 orange 10
51 1 orange 10
52 1 green 10
53 1 green 10
54 1 green 10
55 1 orange 10
56 1 orange 10
57 1 green 10
58 1 orange 10
59 1 orange 10
60 1 orange 10
61 1 orange 10
62 1 orange 10
63 1 green 10
64 1 orange 10
65 1 green 10
66 1 orange 10
67 1 orange 10
68 1 orange 10
69 1 orange 10
70 1 orange 10
71 1 green 10
72 1 green 10
73 1 orange 10
74 1 orange 10
75 1 orange 10
76 1 orange 10
77 1 orange 10
78 1 orange 10
79 1 orange 10
80 1 orange 10
81 1 orange 10
82 1 orange 10
83 1 green 10
84 1 green 10
85 1 orange 10
86 1 orange 10
87 1 green 10
88 1 orange 10
89 1 green 10
90 1 green 10
91 1 green 10
92 1 orange 10
1 2 orange 10
2 2 orange 10
3 2 green 10
4 2 green 10
5 2 green 10
6 2 orange 10
7 2 green 10
8 2 green 10
9 2 green 10
10 2 green 10
11 2 orange 10
12 2 orange 10
13 2 orange 10
14 2 orange 10
15 2 orange 10
16 2 orange 10
17 2 orange 10
18 2 green 10
19 2 orange 10
20 2 green 10
21 2 orange 10
22 2 orange 10
23 2 orange 10
24 2 green 10
25 2 orange 10
26 2 orange 10
27 2 orange 10
28 2 green 10
29 2 green 10
30 2 orange 10
31 2 orange 10
32 2 orange 10
33 2 orange 10
34 2 orange 10
35 2 orange 10
36 2 orange 10
37 2 orange 10
38 2 orange 10
39 2 orange 10
40 2 orange 10
41 2 orange 10
42 2 orange 10
43 2 orange 10
44 2 orange 10
45 2 orange 10
46 2 orange 10
47 2 green 10
48 2 green 10
49 2 orange 10
50 2 orange 10
51 2 orange 10
52 2 green 10
53 2 green 10
54 2 green 10
55 2 orange 10
56 2 orange 10
57 2 green 10
58 2 orange 10
59 2 orange 10
60 2 orange 10
61 2 orange 10
62 2 orange 10
63 2 green 10
64 2 orange 10
65 2 green 10
66 2 orange 10
67 2 orange 10
68 2 orange 10
69 2 orange 10
70 2 orange 10
71 2 green 10
72 2 green 10
73 2 orange 10
74 2 orange 10
75 2 orange 10
76 2 orange 10
77 2 orange 10
78 2 orange 10
79 2 orange 10
80 2 orange 10
81 2 orange 10
82 2 orange 10
83 2 green 10
84 2 green 10
85 2 orange 10
86 2 orange 10
87 2 green 10
88 2 orange 10
89 2 green 10
90 2 green 10
91 2 green 10
92 2 orange 10
1 3 orange 10
2 3 orange 10
3 3 green 10
4 3 green 10
5 3 green 10
6 3 orange 10
7 3 green 10
8 3 green 10
9 3 green 10
10 3 green 10
11 3 orange 10
12 3 orange 10
13 3 orange 10
14 3 orange 10
15 3 orange 10
16 3 orange 10
17 3 orange 10
18 3 green 10
19 3 orange 10
20 3 green 10
21 3 orange 10
22 3 orange 10
23 3 orange 10
24 3 green 10
25 3 orange 10
26 3 orange 10
27 3 orange 10
28 3 green 10
29 3 green 10
30 3 orange 10
31 3 orange 10
32 3 orange 10
33 3 orange 10
34 3 orange 10
35 3 orange 10
36 3 orange 10
37 3 orange 10
38 3 orange 10
39 3 orange 10
40 3 orange 10
41 3 orange 10
42 3 orange 10
43 3 orange 10
44 3 orange 10
45 3 orange 10
46 3 orange 10
47 3 green 10
48 3 green 10
49 3 orange 10
50 3 orange 10
51 3 orange 10
52 3 green 10
53 3 green 10
54 3 green 10
55 3 orange 10
56 3 orange 10
57 3 green 10
58 3 orange 10
59 3 orange 10
60 3 orange 10
61 3 orange 10
62 3 orange 10
63 3 green 10
64 3 orange 10
65 3 green 10
66 3 orange 10
67 3 orange 10
68 3 orange 10
69 3 orange 10
70 3 orange 10
71 3 green 10
72 3 green 10
73 3 orange 10
74 3 orange 10
75 3 orange 10
76 3 orange 10
77 3 orange 10
78 3 orange 10
79 3 orange 10
80 3 orange 10
81 3 orange 10
82 3 orange 10
83 3 green 10
84 3 green 10
85 3 orange 10
86 3 orange 10
87 3 green 10
88 3 orange 10
89 3 green 10
90 3 green 10
91 3 green 10
92 3 orange 10
1 4 orange 10
2 4 orange 10
3 4 green 10
4 4 green 10
5 4 green 10
6 4 orange 10
7 4 green 10
8 4 green 10
9 4 green 10
10 4 green 10
11 4 orange 10
12 4 orange 10
13 4 orange 10
14 4 orange 10
15 4 orange 10
16 4 orange 10
17 4 orange 10
18 4 green 10
19 4 orange 10
20 4 green 10
21 4 orange 10
22 4 orange 10
23 4 orange 10
24 4 green 10
25 4 orange 10
26 4 orange 10
27 4 orange 10
28 4 green 10
29 4 green 10
30 4 orange 10
31 4 orange 10
32 4 orange 10
33 4 orange 10
34 4 orange 10
35 4 orange 10
36 4 orange 10
37 4 orange 10
38 4 orange 10
39 4 orange 10
40 4 orange 10
41 4 orange 10
42 4 orange 10
43 4 orange 10
44 4 orange 10
45 4 orange 10
46 4 orange 10
47 4 green 10
48 4 green 10
49 4 orange 10
50 4 orange 10
51 4 orange 10
52 4 green 10
53 4 green 10
54 4 green 10
55 4 orange 10
56 4 orange 10
57 4 green 10
58 4 orange 10
59 4 orange 10
60 4 orange 10
61 4 orange 10
62 4 orange 10
63 4 green 10
64 4 orange 10
65 4 green 10
66 4 orange 10
67 4 orange 10
68 4 orange 10
69 4 orange 10
70 4 orange 10
71 4 green 10
72 4 green 10
73 4 orange 10
74 4 orange 10
75 4 orange 10
76 4 orange 10
77 4 orange 10
78 4 orange 10
79 4 orange 10
80 4 orange 10
81 4 orange 10
82 4 orange 10
83 4 green 10
84 4 green 10
85 4 orange 10
86 4 orange 10
87 4 green 10
88 4 orange 10
89 4 green 10
90 4 green 10
91 4 green 10
92 4 orange 10
1 5 orange 10
2 5 orange 10
3 5 green 10
4 5 green 10
5 5 green 10
6 5 orange 10
7 5 green 10
8 5 green 10
9 5 green 10
10 5 green 10
11 5 orange 10
12 5 orange 10
13 5 orange 10
14 5 orange 10
15 5 orange 10
16 5 orange 10
17 5 orange 10
18 5 green 10
19 5 orange 10
20 5 green 10
21 5 orange 10
22 5 orange 10
23 5 orange 10
24 5 green 10
25 5 orange 10
26 5 orange 10
27 5 orange 10
